"code","name","ekatte"
"VAR01","Аврен","00084"
"BGS01","Айтос","00151"
"VAR02","Аксаково","00182"
"SLS01","Алфатар","00415"
"SFO54","Антон","00504"
"TGV02","Антоново","00518"
"LOV02","Априлци","52218"
"KRZ02","Ардино","00607"
"PDV01","Асеновград","00702"
"DOB03","Балчик","02508"
"SML02","Баните","44402"
"BLG01","Банско","02676"
"PAZ03","Батак","02837"
"PVN03","Белене","03366"
"BLG02","Белица","03504"
"PAZ04","Белово","03592"
"VID01","Белоградчик","03616"
"VAR04","Белослав","03719"
"MON02","Берковица","03928"
"BLG03","Благоевград","04279"
"KNL04","Бобов дол","04501"
"KNL05","Бобошево","04532"
"SFO06","Божурище","05027"
"VID03","Бойница","05195"
"MON04","Бойчиновци","05236"
"JAM03","Болярово","05284"
"SML05","Борино","05462"
"VRC05","Борован","05548"
"RSE03","Борово","05611"
"SFO07","Ботевград","05815"
"SZR04","Братя Даскалови","06183"
"PAZ06","Брацигово","06207"
"VID06","Брегово","06224"
"PER08","Брезник","06286"
"PDV07","Брезово","06361"
"MON07","Брусарци","06570"
"BGS04","Бургас","07079"
"RSE04","Бяла","07603"
"VAR05","Бяла","07598"
"VRC08","Бяла Слатина","07702"
"VAR06","Варна","10135"
"SHU23","Велики Преслав","58222"
"VTR04","Велико Търново","10447"
"PAZ08","Велинград","10450"
"SHU07","Венец","10642"
"RSE05","Ветово","10803"
"VAR08","Ветрино","10865"
"VID09","Видин","10971"
"VRC10","Враца","12259"
"MON11","Вълчедръм","12543"
"VAR09","Вълчи дол","12574"
"SHU10","Върбица","12766"
"MON12","Вършец","12961"
"GAB05","Габрово","14218"
"DOB12","Генерал Тошево","14711"
"MON14","Георги Дамяново","14773"
"SLS07","Главиница","15031"
"SFO09","Годеч","15309"
"SFO10","Горна Малина","16314"
"VTR06","Горна Оряховица","16359"
"BLG11","Гоце Делчев","17395"
"VID15","Грамада","17645"
"PVN08","Гулянци","18099"
"SZR37","Гурково","18157"
"SZR07","Гълъбово","18280"
"BLG13","Гърмен","18366"
"RSE08","Две могили","20184"
"SML09","Девин","20465"
"VAR14","Девня","20482"
"KRZ08","Джебел","20746"
"HKV09","Димитровград","21052"
"VID16","Димово","21097"
"DOB15","Добрич-селска","72624"
"DOB28","Добрич","72624"
"SFO59","Долна баня","22006"
"PVN10","Долна Митрополия","22215"
"PVN11","Долни Дъбник","22407"
"VAR13","Долни чифлик","21912"
"SML10","Доспат","23025"
"SFO16","Драгоман","23409"
"GAB12","Дряново","23947"
"SLS10","Дулово","24030"
"KNL48","Дупница","68789"
"VAR16","Дългопол","24565"
"VTR13","Елена","27190"
"SFO17","Елин Пелин","27303"
"JAM07","Елхово","27382"
"SFO18","Етрополе","27632"
"RAZ11","Завет","30065"
"PER19","Земен","30778"
"VTR14","Златарица","30962"
"SFO47","Златица","31044"
"SML11","Златоград","31111"
"HKV11","Ивайловград","32024"
"RSE13","Иваново","32095"
"PVN23","Искър","55782"
"RAZ14","Исперих","32874"
"SFO20","Ихтиман","32901"
"DOB17","Каварна","35064"
"SZR12","Казанлък","35167"
"SLS15","Кайнарджа","35242"
"PDV12","Калояново","35523"
"BGS08","Камено","35883"
"SHU18","Каолиново","36079"
"PDV13","Карлово","36498"
"BGS09","Карнобат","36525"
"SHU19","Каспичан","36587"
"KRZ14","Кирково","36926"
"PVN39","Кнежа","37376"
"PER22","Ковачевци","37513"
"VRC20","Козлодуй","37798"
"SFO24","Копривщица","38558"
