"code","type","firma","bulstat","fobshtina","fgrad","vei","vobshtina","vgrad","moshtnost","vavejdane","geo"
"УП0101ВЕ0000","ВЕ","”УП България 1” ЕООД",200310951,"Столична","София","ВтЕЦ ”Камен бряг Север - 1”","Каварна","с. Камен бряг",3,260809,"43.45330,28.55529"
"УП0301ВЕ0000","ВЕ","”УП България 3” ЕООД",200310798,"Столична","София","ВтЕЦ ”Камен бряг Юг - 1”","Каварна","с. Камен бряг",3,260709,"43.44930,28.54611"
"УП0601ВЕ0000","ВЕ","”УП България 6” ЕООД",200310517,"Столична","София","ВтЕЦ ”Камен бряг Север - 2”","Каварна","с. Камен бряг",3,260809,"43.45740,28.54814"
"УП0801ВЕ0000","ВЕ","”УП България 8” ЕООД",200310652,"Столична","София","ВтЕЦ ”Камен бряг Север - 3”","Каварна","с. Камен бряг",3,260809,"43.45790,28.55355"
"УП1901ВЕ0000","ВЕ","”УП България 19” ЕООД",200328013,"Столична","София","ВтЕЦ ”Камен бряг Север - 4”","Каварна","с. Камен бряг",3,260809,"43.45877,28.55114"
"УП2101ВЕ0000","ВЕ","”УП България 21” ЕООД",200326927,"Столична","София","ВтЕЦ ”Камен бряг Юг - 2”","Каварна","с. Камен бряг",3,290709,"43.44949,28.55037"
"УП2601ВЕ0000","ВЕ","”УП България 26” ЕООД",200327185,"Столична","София","ВтЕЦ ”Камен бряг Юг - 3”","Каварна","с. Камен бряг",3,290709,"43.45142,28.54754"
"УП0901ВЕ0000","ВЕ","”УП България 9” ЕООД",200360203,"Столична","София","ВтЕЦ ”Комарево”","Шабла","Шабла",3,301209,"43.54697,28.55280"
"УП1001ВЕ0000","ВЕ","”УП България 10” ЕООД",200360324,"Столична","София","ВтЕЦ ”Пролезки път - 1”","Шабла","Шабла",3,301209,"43.40105,28.35021"
"УП1101ВЕ0000","ВЕ","”УП България 11” ЕООД",200360694,"Столична","София","ВтЕЦ ”Комарево - 1”","Шабла","с. Горичене",3,301209,"43.53772,28.45038"
"УП1201ВЕ0000","ВЕ","”УП България 12” ЕООД",200360961,"Столична","София","ВтЕЦ ”Пролезки път - 2”","Шабла","Шабла",3,301209,"43.55153,28.53836"
"УП1301ВЕ0000","ВЕ","”УП България 13” ЕООД",200361159,"Столична","София","ВтЕЦ ”Пролезки път - 3”","Шабла","Шабла",3,301209,"43.55451,28.51501"
"УП1401ВЕ0000","ВЕ","”УП България 14” ЕООД",200359635,"Столична","София","ВтЕЦ ”Пролезки път - 4”","Шабла","Шабла",3,301209,"43.52465,28.47656"
"УП1501ВЕ0000","ВЕ","”УП България 15” ЕООД",200359852,"Столична","София","ВтЕЦ ”Пролезки път - 5”","Шабла","Шабла",3,301209,"43.49278,28.53698"
"УИНС01ВЕ0000","ВЕ","”Уинд Сис” ООД",123689255,"Столична","София","ВтЕЦ ”Било 1”","Каварна","с. Било",1.5,51208,"43.64595,28.39734"
