ekatte,municipality,name_bg,name_en,area,population
00014,BLG52,Абланица,Ablanitsa,33663,2583
00028,LOV18,Абланица,Ablanitsa,23610,141
00031,DOB20,Абрит,Abrit,19673,205
00045,SLV11,Мокрен,Mokren,78701,851
00059,BLG53,Аврамово,Avramovo,5284,719
00062,KRZ02,Аврамово,Avramovo,6197,3
00084,VAR01,Аврен,Avren,58364,696
00093,KRZ15,Аврен,Avren,35229,375
00103,GAB29,Агатово,Agatovo,36488,294
00117,GAB35,Азманите,,0,9
00120,KRZ14,Върбен,Varben,5854,485
00134,BLG03,Изгрев,Izgrev,6306,559
00148,KRZ16,Айрово,,0,620
00151,BGS01,Айтос,Aytos,79033,19708
00165,PAZ04,Аканджиево,Akandzhievo,11606,433
00179,VID09,Акациево,Akatsievo,3486,81
00182,VAR02,Аксаково,Aksakovo,18958,7928
00196,SML11,Аламовци,Alamovtsi,18371,274
00206,KRZ08,Албанци,Albantsi,807,3
00215,TGV35,Алваново,Alvanovo,14860,167
00223,SFO45,Алдомировци,Aldomirovtsi,36582,1352
00237,VTR28,Алеково,Alekovo,34698,564
00240,SLS01,Алеково,Alekovo,49570,438
00254,PAZ19,Алеко Константиново,Aleko Konstantinovo,15864,2727
00268,DOB20,Александрия,Aleksandria,35032,69
00271,BGS17,Александрово,Aleksandrovo,11093,102
00285,VTR28,Александрово,Aleksandrovo,11686,197
00299,LOV18,Александрово,Aleksandrovo,41690,1474
00309,SZR24,Александрово,Aleksandrovo,78630,1642
00312,TGV35,Александрово,Aleksandrovo,15469,240
00326,HKV34,Александрово,Aleksandrovo,21601,280
00330,SHU25,Александрово,Aleksandrovo,23943,66
00343,JAM22,Александрово,Aleksandrovo,37264,158
00357,SOF46,Нови Искър,Novi Iskar,52808,14406
00360,DOB12,Александър Стамболийски,Aleksandar Stamboliyski,27921,26
00374,DOB15,Самуилово,Samuilovo,20981,107
00388,SML31,Алиговска,,0,20
00391,SFO39,Алино,Alino,48571,227
00401,VRC08,Алтимир,Altimir,32058,1128
00415,SLS01,Алфатар,Alfatar,105443,1561
00429,DOB15,Алцек,Altsek,10271,336
00432,DOB27,Ангеларий,Angelariy,12441,120
00446,HKV19,Ангел войвода,Angel voyvoda,12452,440
00456,GAB05,Ангелов,,0,34
00480,PDV43,Анево,Anevo,19171,1063
00494,SLS34,Антимово,Antimovo,17397,37
00504,SFO54,Антон,Anton,76098,1510
00518,TGV02,Антоново,Antonovo,25076,1516
00521,VTR13,Аплаци,,0,0
00549,SFO10,Априлово,Aprilovo,12050,1039
00552,SZR07,Априлово,Aprilovo,14660,254
00566,TGV24,Априлово,Aprilovo,19732,386
00571,PAZ19,Априлци,Apriltsi,16567,516
00583,VTR04,Арбанаси,Arbanasi,11881,316
00597,SML31,Арда,Arda,17928,273
00607,KRZ02,Ардино,Ardino,15328,3462
00610,PER08,Арзан,Arzan,8321,15
00624,VAR16,Арковна,Arkovna,17316,78
00638,GAB05,Армените,Armenite,10126,97
00641,GAB35,Армянковци,,0,1
00655,SZR31,Арнаутито,Arnautito,22129,277
00669,SML16,Арпаджик,,0,26
00672,VID16,Арчар,Archar,54418,2296
00697,SZR24,Асен,Asen,18906,446
00702,PDV01,Асеновград,Asenovgrad,78012,50186
00713,SLV16,Асеновец,Asenovets,20624,638
00730,VTR31,Асеново,Asenovo,37105,631
00744,PVN21,Асеново,Asenovo,18916,255
00758,JAM25,Асеново,Asenovo,12790,92
00761,PVN16,Асеновци,Asenovtsi,44238,1317
00775,BGS09,Аспарухово,Asparuhovo,24746,167
00789,VAR16,Аспарухово,Asparuhovo,90717,603
00792,MON26,Аспарухово,Asparuhovo,20416,491
00802,PVN16,Аспарухово,Asparuhovo,11777,586
00816,JAM22,Атолово,Atolovo,10346,180
00828,KRZ21,Ауста,Austa,6026,201
00833,BGS17,Ахелой,Aheloy,13200,2409
00847,PDV28,Ахматово,Ahmatovo,13017,254
00850,SML02,Гълъбово,Galabovo,19289,497
00864,KRZ02,Ахрянско,Ahryansko,6839,42
00878,BGS13,Ахтопол,Ahtopol,28704,1297
00881,PAZ08,Абланица,Ablanitsa,11874,377
00895,SLS31,Айдемир,Aydemir,64745,5914
00905,KRZ14,Априлци,Apriltsi,1735,109
00919,VID09,Антимово,Antimovo,11962,503
02021,TGV24,Баба Тонка,Baba Tonka,13362,87
02035,PDV07,Бабек,Babek,16759,80
02049,KNL04,Бабино,Babino,10542,212
02052,KNL04,Бабинска река,Babinska reka,3192,88
