ekatte,neighbors
00014,04399|04707|12499|22616|39726|56109|72268|77058|77222
00028,07260|15552|35198|43579|44241|77311
00031,00268|21470|38618|57858|63094|65906
00045,04337|15237|17436|23337|30898|32915|58966|65958|66682|69660|81582
00059,32603|55631|63687
00062,37085|63402|68240
00084,03719|10611|21419|30627|35208|61741|65125|66490|73393
00093,04306|15878|20393|20403|81027
00103,06536|17244|17542|20420|39431|40943|46509
00120,40988|54393|57039|68895|77092
00134,04279|27231|47370|78464
00151,07332|23889|30805|36227|36381|44817|46440|56321|56438|57426|63224|70473|87093
00165,10820|24414|47812
00179,10971|17422|32754|63358
00182,10135|12406|32278|32490|72709
00196,27588|31111
00206,11689|72211|73804
00215,07154|43935|46190|54345|58493
00223,06175|07541|15518|18294|23409|32411|67372
00237,00285|12869|37784|55018|77013
00240,00415|04145|12721|35050|40751|58685|78063|81270|81712
00254,15028|20362|36124|44879|48876|55556|78570
00268,00031|04193|14043|21470|38618|53357|57234|72196
00271,35033|47651|53822|57790|73571
00285,00237|12869|16393|37784
00299,05493|20420|21823|23666|36614|40943|43476|80039
00309,14026|47101|54153|62966|65526|73451|73688
00312,06166|43685|58219|78297
00326,38368|51891|62880|69359|75085
00330,10762|62732|67708|70398
00343,11908|20657|31379|40419|53504|57409
00357,11510|40436|41010|44330|48393|57011|65601|68134
00360,03157|03318|04090|66281|68196|70634|81181
00374,11421|21957|31067|48088|53881|67622
00391,03767|16599|56624|57697|61922|62486
00401,07497|14406|21600|43774|62815|66617|73643
00415,00240|02097|06032|07329|10210|11764|35225|40751|57604|58699|78063|80738
00429,00432|02405|57563|70617|77284
00432,00429|02405|35938|38025|70617
00446,05983|11106|14221|34117|38176|70651
00480,32226|36186|49117|68080|80981
00494,03527|10149|58253|73496|73729|78118|83524
00504,20996|24164|37277|38558|56407|62579
00518,16211|20479|41099|46735|49045|53641|57827|66175|83332|87686
00549,14338|16314|21779|22174|43445
00552,10416|18280|38340|44540|61791|65838
00566,15103|21937|22109|30449|38193|47411|65557
00571,14619|63032|65468|84067
00583,10447|16359|44793|59094|83123
00597,02782|05414|06923|48814|66384
00607,00864|04248|18321|24788|58013|62894|65646|66562|87059
00610,06286|15331|22506|61964
00624,29177|44294|47620|55470|80950
00638,12168|23159|30661|30973
00655,05637|35515|48502|61995|87254
00672,05832|11497|21436|24640|46320|66278|67310
00697,14026|16924|55021|66826|73688
00702,02974|05339|06029|21676|36244|36676|37633|40004|40467|44834|48965|49309|63238|87179
00713,02734|06788|38683|39757|51809
00730,11716|16081|47007|48341|51593|57875|69633
00744,20314|47963|51932|67088
00758,36200|56873|65406|66456|67177|80306
00761,00802|17244|17556|43236|43476|46841
00775,29249|40230|70576|73211
00789,20599|21614|24565|30234|38162|39551|55470|69990|72864|78519
00792,10255|47593|62222|68672|72940
00802,00761|37647|43236|46841
00816,10625|20448|44118|69660
00828,20755|23830|30452|53076|56575|80131
00833,35033|57491|61056|73571
00847,04594|38385|48152|57621|66127|72093
00850,00864|11377|43164|44402|44584|67355|73732
00864,00607|00850|24788|43164|62894|73732
00878,06553|10094|66528
00881,17823|41136|65534|78272
00895,10834|41143|57251|66425|67526|68299
00905,36926|44080|53878|83538
00919,10971|15998|41263|57131
02021,03931|06046|16081|22099|30449|32189|67091
02035,30750|62966|65526
02049,02052|04501|15446|36566|38635|46262|52297
02052,02049|04501|21974|48711|52297
02066,06286|10548|11209|15331|61618|68059
02083,15829|63668
02097,00415|07329|35225|41143|78358
02107,07822|15638|38220|40453|44762|53998|59330|80649|87338
02124,03410|10700|30260|38981|65890|66754
02138,03962|14917|17751|22071|29026|56378|73691
02141,03681|10906|11199|17169|21302|38317|55899|81205
02155,48996|59361|65098|67882|81734
02172,20763|39325|67252|67698|75174
02227,14876|14888|40195
02230,04340|07048|20256|23443|32384|78611
02244,05966|11257|20643|21405|73050|80772
02258,03705|15432|46231|67636
02261,03986|05640|05712|36066|40796|51442|52153|80830|87165
02289,02899|06985|11884|44224|53374
02292,15216|17988|24445|24596|44361|46214|55840|56589|57947|63611|65797|68120|86030
02302,05445|16986|35290|72309|73198
02322,27615|70247|81006
02347,14218|27526|29547
02350,15535|17659|20763|35804|55230|68789
02364,10879|27423|48951|49429|52177|58791|63416
02381,02600|05606|17347|53326|66874
02395,06224|12317|40441
02405,00429|00432|27656|38025|39242|53549|58935|77284
02448,03486|40939|73198|80981
02467,04296|18589|54105|57501|61710
02470,11466|11750|29091|35078|36782|52060
02484,10183|23769|38217|39623|58181|73095
02508,04515|05009|18160|48982|53120|67951|69643|72693
02511,15984|21662|29430|78197|78402
02542,05253|05654|30301|38131
02563,04025|04964|27526|29547|56719|73403
02587,05611|07212|30380|38529|55988|57488
02590,15521|20376|46807|49223|54482|81400
02600,02381|05606|17347|38666|44416|53326
02614,27601|39855|44781|48249|63519|65084|68833
02628,06919|24428|40871|46468|65855|72452
02645,04697|12139|27084|73273
02659,32216|37280|68134
02662,20482|32528|35376|36868|43222|58654|67489|80861
02676,02693|11569|21498|27293|43699|53059|56839|61813
02693,02676|03504|22602|27293|39270|61813|77596
02703,11538|27454|39164|53045|58431|62102
02717,05459|07572|43369|53103|55302
02720,03109|10291|12005|24241|48564|58616|67903
02734,00713|15944|22767|38683|39757|53847|65499|70490|72165|80474
02748,03664|07168|24367|39116|57830|62699
02751,12190|22157|31142|36717|37558|77267
02765,23176|27169|36525|37650|40230|77089|80755
02779,06700|23025|41006|44642|78567|80025
02782,00597|05414|48814
02796,39520|56397|63427
02806,12036|21467|31317|40302|40508|51737|81791
02810,06776|14057|16064|18229|24253|27440|38769|47651|57790|58640|62904|69746
02823,16290|36289|51295|55573|67475
02837,05462|17823|23008|23025|38844|41006|41136|51874|56277|62004|70648|76162
02854,03808|16674|39788
02868,05611|07212|12067|20184|53117|81373|83301
02871,14653|53450|58339|62788|66946|67917|69300|78639
02885,16376|18215|69417|83497
02899,02289|06985|11884|44330|62387|62414
02909,03373|21381|24390|36436|46961|53730|69554|77493
02912,14390|17453|21734|43462|61933
02935,16002|43829|43952|51620|67060
02957,51932|65320|67088|73345
02960,04217|15326|22753|61813
02974,00702|21324|21676|44834|51127|86012
02988,12512|17052|39181|66384|67547|80412
02991,16910|22784|37085|44584|68240|73897|80964
03006,21511|30524|37928|39894|46139|48074|49120|55885|63170|72120|81267
03017,05757|32799|52338|55138|67828|70336
03023,07819|10224|22561|46543|69434
03037,10238|43935|53223|54081|55662|63241|73626
03040,11421|12231|36302|47874|53881|80529
03054,20268|20514|27190|38337|47425|55261|61830|62431|68494
03068,03143|07524|17258|36662|51620|56201|62116|65070
03085,16328|22191|32038|54465|55926|63553|63567|70353|81133
03099,14893|17796|39150|51490|52324|65084
03109,02720|10291|16513|22931|58616
03112,06269|14605|20465|44848|49285|83274
03126,39548|48386|56486|58205|73300
03143,03068|07524|23060|36662|61950|65070|85010
03157,00360|11329|17782|30394|68196|81181
03174,36453|53450|57279|57550|58270|58880|66250
03188,20198|49326|51442|55912|59313|62606|67893|73147
03191,04813|10269|46766|53607|57529|67372
03201,11171|14180|21840|22873|47593|67386
03215,04145|04916|18191|46334|57889|70617|72271|81270
03229,05092|05308|62921|77030|81534|87374
03263,14489|17734|21097|24579|37188|38995|54434
03277,04529|41251|57964|58311
03280,06954|11925|14698|52283|56252|63358|67180|78224
03294,35081|37989|56126|59077
03304,06077|06447|18277|47295|56784
03318,00360|11003|66281|66620|68326|70634|72936|80340
03321,05579|46406|55991
03335,20345|20780|43565|57176
03349,17035|17779|22914|36938
03366,07630|20537|23193|40573|44152|53672|65766|72117
03373,02909|36511|40645|53730|56099|63327|69554
03383,11418|17453|21734|37424|54496|57844
03397,43517|47010|48492|62815|76193
03407,07288|44540|61460|62712|73225
03410,02124|05089|11613|12694|29461|36066|38981|40169|65841|65890|80248
03424,05904|18054|29074|43308
03438,11555|12259|16866|39236|51528|58788
03441,03504|23039|46276|62685|65231|87338
03455,17974|58712|59015|65560|72059
03469,16239|16300|48475|61090|67667|80354
03472,24150|30630|37232|56945|58877
03486,02448|16986|40939|72309|73198|77462|81476|83212
03499,15429|22134|31365|44700|48307|67982|80594|83288|87672
03504,02693|03441|16754|20064|22602|39270|62685|86101|87338
03513,12098|58284|61861|68823|73403|76220|81058
03527,00494|06389|10149|58253|69184
03530,05623|05737|15117|30209|44447|44478|46989|49151|59313
03544,04128|44077|44570|46574|80827
03558,12108|20300|21590|35290|53707|55587|73198
03561,07867|32603|38220|53998|63687|81863
03575,15151|16105|40422|66295|72357
03589,23426|39579|44481|46752|51069|55378|58058|69016
03592,10450|23234|24414|47812|48903|55631|65534|66202|66264|66319|86115|87338
03602,10865|21645|30274|48653|49000|51233|68480|68744|87206
03616,05582|12797|14489|17734|24431|58092|81459
03620,05270|47086|47113|48152|48372|53624|57621|80162|83380
03633,17573|44032|55316|69924|83510
03647,05030|06166|16420|37811|53535|73609
03664,02748|07168|07377|62699
03678,11778|23515|23672|36440|36957|81247
03681,02141|06817|21302|38317|55097|57769|65454|80145
03695,53429|53789|65704|66398
03705,02258|14338|15432|16314|46231|80282
03719,00084|20482|30627|38354|61741|67489|69763
03722,06971|18486|22250|53401|58116|67667|81247
